"NDVIchange","Climatezone","Mining","Tempchange","Precipitation","GDP","Popdensity"
0.13824,"Bwk","low",0.25911,240.09,12.55,1.63778
0.1029,"Bwk","low",0.24851,230.9,0,1.11387
0.01519,"Bwk","low",0.2689,211.69,2.45,0.79681
0.13406,"Bsk","low",0.28214,445.21,47.59,9.45736
0.1758,"Bsk","very low",0.31003,467.29,107.42,21.4259
0.0414,"Bwk","low",0.35464,225.15,0,0.42351
0.03569,"Bwk","low",0.33109,219.56,0,0.57144
0.01521,"Bwk","low",0.31346,212.97,0.24,0.29935
0.01673,"Bwk","low",0.29311,210.83,0,0.89112
0.02418,"Bwk","low",0.26218,216.36,0,1.3382
0.08654,"Bwk","low",0.20415,237.38,36.58,1.96894
0.08983,"Bsk","low",0.23487,354.04,4.55,20.75836
0.07867,"Bsk","low",0.2527,388.79,18.44,11.94123
0.08802,"Bsk","low",0.28912,415.36,0,6.47633
0.12487,"Bsk","very low",0.35643,433.08,0,6.88541
-0.00809,"Bwk","low",0.4086,215.68,0,0.04968
-0.00087,"Bwk","low",0.4109,202.2,0,0.05765
-0.00461,"Bwk","low",0.39647,195.45,0,0.01715
0.00294,"Bwk","low",0.38511,191,0,0.13966
-0.00425,"Bwk","low",0.37998,187.05,0,0.52767
0.0093,"Bwk","low",0.35025,196.22,0,1.87232
0.01783,"Bwk","low",0.27431,228.5,0,2.1985
0.09249,"Bsk","low",0.21267,277.49,5.85,5.93292
0.03616,"Bsk","low",0.16471,320.99,22.7,12.38792
0.07407,"Bsk","low",0.2099,330.9,241,17.49647
0.05596,"Bsk","low",0.22371,361.82,31.1,3.98569
0.09078,"Bsk","low",0.27094,389.27,0,1.69291
0.09105,"Bsk","very low",0.36855,407.9,53.88,4.82916
0.10361,"Bsk","very low",0.47348,428.48,21.05,15.29944
0.00485,"Bwk","low",0.43256,180.53,3.71,0.07429
-0.00049,"Bwk","low",0.43566,173.6,0,0.0905
0.00446,"Bwk","low",0.43828,170.59,0,0.09298
-0.0088,"Bwk","low",0.43123,174.37,0.75,0.09298
-0.01181,"Bwk","low",0.41639,183.88,0,4.52588
0.01148,"Bwk","low",0.40369,193.39,9.89,2.87314
0.0749,"Bsk","low",0.27231,255.8,6.66,5.23536
0.0191,"Bsk","low",0.25156,254.73,0,2.71271
0.00726,"Bsk","low",0.19279,287.86,16.21,4.43683
0.00437,"Bsk","low",0.19465,302.37,35.25,3.03987
0.06162,"Bsk","low",0.19423,333.95,0.07,1.69512
0.07398,"Bsk","medium",0.25827,359.31,50.17,1.87073
0.08749,"Bsk","very low",0.37015,386.92,0,9.69
0.11226,"Bsk","very low",0.50489,418.34,482.91,23.28349
-0.00052,"Bwk","low",0.44667,155.63,0,0.10653
-0.00716,"Bwk","low",0.45135,158.95,0,0.08902
-0.00862,"Bwk","low",0.45552,166.14,0,1.03022
-0.00522,"Bwk","low",0.46398,173.84,0,18.1413
0.02476,"Bwk","low",0.47312,181.58,40.09,20.36779
0.10057,"Bsk","low",0.29534,266.09,795.09,24.14238
0.01465,"Bwk","low",0.31731,222.54,0,4.10448
-0.00198,"Bsk","medium",0.25327,245.96,5.62,17.26097
-0.00013,"Bsk","medium",0.20521,268.66,0,19.92264
0.04892,"Bsk","medium",0.18847,298.46,3.03,5.41485
0.06742,"Bsk","medium",0.23324,337.53,0,2.358
0.05873,"Bsk","very low",0.38406,367.03,1.43,14.98504
0.0784,"Bsk","very low",0.55972,400.46,123.57,20.54294
0.1002,"Bsk","very low",0.71317,430.58,30.64,9.67874
0.09507,"Bsk","very low",0.05848,279.6,0,2.96754
-0.01238,"Bwk","low",0.437,151.1,0,0.07037
