LST,Built,DEM,MNDWI,NDBI,NDVI,Roads
40.54882622,2.452818239,125.1725806,-0.294457243,-0.201053314,0.738042129,0.001635823
34.91121663,0.249931488,66.30395497,-0.316910223,-0.218775559,0.760143471,0.001695879
35.04750542,0.000696743,62.27417891,-0.245461928,-0.23496377,0.768280815,0.001786966
34.22955316,0.178516624,122.3770982,-0.396131584,-0.210768502,0.822198143,0.000520326
37.35061869,0.469008264,78.15274219,-0.320726922,-0.163054754,0.706978973,0.000492654
41.37821459,12.58635181,39.37045307,-0.24813606,-0.09722225,0.618070325,0.00577256
42.44403827,17.73987516,24.32272659,-0.239482437,-0.045143603,0.553023286,0.006473836
41.33590628,12.91014661,39.24691912,-0.263174615,-0.100025977,0.617163683,0.006753358
36.67834998,2.210413081,48.34839511,-0.276833573,-0.135458729,0.75421421,0.001080726
39.43152935,5.190964482,24.50333337,-0.26805567,-0.07696496,0.682212016,0.002201217
41.10198739,9.548813559,40.76279987,-0.29653548,-0.062909407,0.636619578,0.002585026
37.42654249,0,104.8335399,-0.313602418,-0.145078896,0.827703016,0.001281464
36.10486782,0,133.4952212,-0.297382246,-0.166764258,0.843902889,0.000892962
36.95111883,0,112.7224133,-0.338810739,-0.157602625,0.792628779,0.000327822
38.8680746,0.047266515,81.82880354,-0.337322049,-0.132533221,0.802041228,0.000808508
43.00260112,9.925645342,68.16688807,-0.260227717,-0.072480994,0.627135275,0.003431064
36.21902701,0.891705069,146.3377588,-0.353025709,-0.190315483,0.800245355,0.000611342
47.4539725,4.895833333,3.404438861,0.118020782,-0.070455819,0.287229654,0.002722878
43.45241999,18.98399634,6.226862443,-0.114233263,0.005537177,0.3604478,0.008245804
42.93213895,22.20952677,11.63682465,-0.188761564,-0.0415549,0.442079185,0.012484306
42.95376386,25.18609377,9.12685909,-0.180976946,-0.007712147,0.397973856,0.009383418
43.52201252,32.11554652,11.38198538,-0.172382899,0.023067618,0.357771463,0.010402772
39.78867071,11.21615032,23.09488605,-0.22168408,-0.0778566,0.597354982,0.005944582
42.60277852,19.7160691,22.51726989,-0.235431935,-0.02641783,0.518359628,0.007027329
38.45012149,6.387247513,33.82482436,-0.174872695,-0.014746289,0.540101412,0.004462851
34.90937097,0.040401567,88.7878844,-0.105617036,-0.123213965,0.67547021,0.000174139
36.76058375,0.002012072,175.9643915,-0.347192796,-0.187628222,0.839245036,0.000848861
37.2969169,0.052862557,90.48238067,-0.048392416,-0.085026448,0.692182969,0.002189163
36.23894858,0.174908119,79.23106782,0.07290349,-0.077490538,0.685614229,0.000407956
37.85510517,0,129.8695947,-0.308092274,-0.154013558,0.804542198,0.00022975
40.2342999,2.140741871,72.2561621,-0.245791217,-0.073644752,0.703547609,0.002621943
43.30089607,12.71882712,57.23059366,-0.241791448,-0.044255749,0.605370064,0.004759704
45.64272651,17.11075628,51.4183852,-0.225391167,-0.018151925,0.578155005,0.008323048
41.05270866,3.863416988,68.0805037,-0.223170024,-0.051344702,0.672260213,0.002469012
44.23477733,12.67662116,28.47304867,-0.220593797,0.022448202,0.522360658,0.003146711
46.66092149,26.41806723,5.448326663,-0.08722797,0.01719397,0.341086477,0.005584308
43.38495559,28.85889035,7.192884286,-0.144852863,0.002653656,0.395745056,0.009580749
43.23318602,32.87329932,10.79702914,-0.157829223,0.001418008,0.370499321,0.01294076
43.34095488,26.91523236,11.70200643,-0.166477481,0.003838122,0.392071848,0.008573855
43.7404426,25.88425129,16.9486866,-0.168224909,0.008587144,0.394912759,0.009899208
42.52238414,24.72066327,15.94065364,-0.213870055,-0.011852146,0.436996984,0.009478272
40.50344381,15.00889271,23.97515213,-0.191595716,-0.021117947,0.51804688,0.006049393
38.50565673,4.48020654,35.14848658,-0.144468808,-0.037959732,0.587930844,0.002696955
33.41988907,0.01828479,72.8517314,-0.031713292,-0.131192155,0.617322008,0.000169834
32.69592807,0.073848238,141.3307928,-0.383468796,-0.250777531,0.792935377,0.001484832
38.49623184,8.005946135,49.84413636,-0.250719617,-0.12240392,0.619294957,0.002318918
36.79712478,0.153846154,61.85619585,-0.328925199,-0.159874128,0.75597451,0.000854049
38.58354977,0.080786026,97.08011515,-0.279912571,-0.146783373,0.811986519,0.001471812
36.33606551,0.256372788,108.2828481,-0.259012198,-0.166774424,0.796180417,0.002578192
37.46253309,2.507888698,82.55211549,-0.017845758,-0.071342766,0.648735956,0.001921067
40.89745838,5.241394148,111.2039865,-0.252552962,-0.096687513,0.69304724,0.002361962
44.26720924,17.01984127,52.79417932,-0.180513958,-0.013410938,0.526020162,0.004089965
46.48370221,27.29345955,36.307717,-0.187365938,0.006658657,0.458314881,0.005050888
44.70739074,18.80464716,40.56709309,-0.212182904,-0.046492259,0.576360141,0.00508883
42.36169731,13.37765868,43.71942795,-0.193631856,-0.072592619,0.646230372,0.004352902
45.38079902,24.20318725,38.27422245,-0.218523724,0.022332049,0.477161758,0.007907123
43.60648112,16.35484406,33.71208151,-0.213567801,0.016978281,0.475804714,0.006563705
43.84731268,16.79297365,34.65598514,-0.219362585,0.029724861,0.446107084,0.003490893
43.64074911,8.987547893,3.254703927,-0.018970838,-0.024257808,0.370637447,0.005053463
46.48564115,29.32723577,6.281285588,-0.110161885,0.026797487,0.350112099,0.0104991
45.33345844,32.18914211,6.720869314,-0.111827576,0.027340159,0.377416013,0.009785659
46.72153551,32.54245554,8.237202564,-0.140105944,0.028934436,0.361299206,0.013171773
42.31622099,20.84177675,22.91900485,-0.151723564,0.00254699,0.482054053,0.007970528
43.56199776,12.3504137,28.70009147,-0.194045478,-0.027902715,0.532979921,0.007059196
43.21326842,22.61632243,19.6735011,-0.190925512,0.020806313,0.40559952,0.008360594
42.47681685,16.18507766,32.39732874,-0.196037265,-0.060765652,0.53816164,0.010907174
36.10912298,3.409638554,84.06070989,-0.315864203,-0.202901306,0.734024981,0.004426104
35.27607738,4.167957544,123.3826954,-0.360917309,-0.222789648,0.756450072,0.002358653
39.35631242,14.80548701,70.39392697,-0.245165497,-0.052654522,0.477584468,0.003988417
41.59466056,19.94280737,50.19636606,-0.204755196,-0.039195263,0.456630538,0.007305684
42.50524134,18.27741696,47.40285753,-0.244680752,-0.076596954,0.571189465,0.00562617
39.91098563,9.68128655,47.29840881,-0.220077264,-0.119695989,0.681189907,0.003720122
42.77578104,24.47294589,43.00036805,-0.132562035,0.059590926,0.384701892,0.003934698
38.52310951,6.926276988,105.4830925,-0.272646502,-0.11500121,0.703437342,0.00390487
41.81866516,20.14094934,66.11483207,-0.201107975,-0.03977508,0.538498278,0.007568016
43.34457022,25.83364784,46.33182874,-0.15719957,-0.02098004,0.49063551,0.009774527
46.18532553,29.53815261,37.95866514,-0.163644875,0.02608201,0.406979798,0.008643122
41.97400619,10.02453186,61.38045126,-0.238531047,-0.103441265,0.660311369,0.003125121
40.21287747,7.230947888,76.36310111,-0.227328289,-0.098939917,0.688887701,0.001393191
38.21342731,6.298192771,58.51288692,-0.062653478,-0.071271931,0.67271777,0.004137141
43.67556344,26.19248077,43.91490381,-0.188514143,-0.000984547,0.513404608,0.013332333
41.42285907,13.4939759,43.59320413,-0.217898394,-0.037001309,0.565939953,0.007526007
38.77649249,3.394052045,37.99564174,-0.249071816,-0.111013628,0.642522758,0.003760512
40.94172008,5.154618132,2.863259375,-0.00454476,-0.017069368,0.435299141,0.00587426
44.92436577,31.03745101,7.347913499,-0.126920325,0.020847787,0.335246609,0.009595487
43.88542662,32.55000726,11.01658916,-0.145202378,0.00391565,0.349243351,0.009438485
44.84670595,31.86359725,11.19297865,-0.17605745,-0.000568528,0.367514711,0.012791784
42.66838126,18.53592684,38.58298923,-0.14212536,-0.015382584,0.520135449,0.007448655
42.96911043,17.67905356,48.64359103,-0.182026068,-0.019215769,0.508683387,0.009144664
46.09716591,25.10126219,25.60846798,-0.183282214,0.001716511,0.459908797,0.009197063
43.22894548,14.71447235,33.41917799,-0.226165861,-0.003692995,0.447264113,0.00826854
39.26254688,1.865873131,73.49883279,-0.236285977,-0.131620534,0.678073283,0.004893308
35.88448199,5.265347103,112.2599488,-0.30931266,-0.185154212,0.704586515,0.00364476
39.23518583,16.75163304,67.50586756,-0.223122132,-0.067302628,0.489061503,0.004436355
39.06774354,26.21512556,52.08822507,-0.184805455,-0.016506103,0.400462284,0.009197875
40.38599276,32.78614458,47.15218777,-0.191241242,-0.008372986,0.404180552,0.008448886
42.96956295,20.64697344,54.18354166,-0.177350343,-0.051540626,0.542860025,0.006851734
43.84365968,19.9053138,59.23215716,-0.153131114,0.007140098,0.492759898,0.005260645
43.24736656,11.43489362,63.08971871,-0.143764738,-0.006981573,0.550772556,0.00465895
42.44229023,16.34212491,57.45555019,-0.16016838,-0.056480547,0.573139415,0.012751855
42.29569901,19.94266222,62.04580898,-0.187625026,-0.093062094,0.614534252,0.014209389
43.57341729,30.73929453,41.50374731,-0.117652153,0.015940781,0.417433674,0.011794971
43.48185996,25.77380952,50.85753794,-0.180665364,-0.020317324,0.495891021,0.009008557
45.94580201,25.73131079,42.0577168,-0.15440189,0.016392128,0.437350747,0.007456444
42.66220016,11.63782842,56.60820746,-0.131091228,-0.032023892,0.584429439,0.004866572
40.19925282,10.92598967,58.07494805,-0.067302648,-0.036164925,0.566643194,0.006430059
42.92287815,15.39410655,46.61096187,-0.180622553,-0.019128196,0.555882042,0.010623036
42.90418209,15.68834547,42.92862837,-0.209320204,-0.034573093,0.56463945,0.006701636
41.14623761,1.039777983,58.84478904,-0.247404603,-0.158894441,0.759641778,0.001932894
44.81109198,1.65387443,1.294682499,-0.011788848,0.014457031,0.307629063,0.004908651
48.80739645,33.37951807,7.933857711,-0.120693895,0.017770632,0.301625219,0.011086351
46.9185271,33.48522662,13.97928806,-0.130136064,0.016266672,0.322226806,0.01207324
46.86365806,33.34112812,18.61749995,-0.149714229,0.007124997,0.381523619,0.00930303
39.26215887,7.328600115,64.61028276,-0.21732265,-0.128125805,0.678159679,0.003599285
39.88645247,3.388984509,60.48646397,-0.270668293,-0.141317986,0.722004292,0.005314626
38.31978905,7.766581633,61.32804223,-0.094918197,-0.116130302,0.562352612,0.004304292
36.63002609,7.193918531,126.5571526,-0.326879701,-0.168562602,0.695433435,0.004292993
40.86275558,18.93674699,92.84716777,-0.238357525,-0.062026529,0.525342317,0.005480093
34.98297609,14.12528345,114.282067,-0.286066694,-0.144478474,0.616402083,0.006278539
32.71375172,3.211417097,85.9295676,-0.145046509,-0.216610092,0.642368859,0.004014148
37.20612376,24.36718302,58.296194,-0.192744463,-0.032161013,0.430429468,0.009004644
39.95411706,26.3210034,65.54330123,-0.162993671,-0.014867073,0.486938702,0.008895294
42.83077914,23.7304934,75.40809832,-0.121039774,0.003341795,0.510033971,0.008503597
44.18579708,26.86072863,61.1292634,-0.127816387,0.02588269,0.428703904,0.011312024
43.49277972,28.64299887,61.7882799,-0.141424274,0.015198105,0.460518487,0.00996221
38.82002297,12.47151682,91.91305089,-0.180927311,-0.101587002,0.678555818,0.005871792
42.23044285,9.185883997,72.156784,-0.200097166,-0.08623892,0.626495892,0.013368145
43.53276942,25.63798049,50.84217357,-0.115548571,-0.005365184,0.472213717,0.013258585
41.91179114,13.54489386,56.87362376,-0.120112617,-0.060024793,0.600055021,0.006677316
43.52499852,17.87655896,57.95432342,-0.169828809,-0.034426467,0.539025534,0.005910413
41.82987385,16.24168101,61.27075097,-0.175788934,-0.000325291,0.512707687,0.005851635
42.47586884,25.42082616,51.84290535,-0.18616675,0.01238571,0.466492289,0.008683165
41.59923441,25.24305556,46.91710053,-0.199296325,-0.00981604,0.500405215,0.010820194
43.39834795,17.73149742,42.09687663,-0.169345915,-0.023501464,0.577045954,0.009207609
41.05685173,8.820854848,54.82433512,-0.244037204,-0.102600883,0.642988734,0.006637055
37.05677521,3.68790928,132.1098089,-0.319202197,-0.200448445,0.772686948,0.002417583
35.28684206,0.04057971,207.8617858,-0.33634891,-0.251303894,0.798545199,0.000962571
42.78363536,0.835222319,1.387351391,0.041591715,-0.021140295,0.321185444,0.005070239
49.51377925,30.34286544,7.247818505,-0.091664802,0.019490914,0.284001279,0.011036302
44.28635901,25.50979823,17.26279145,-0.020400054,0.000298859,0.387476225,0.011367664
43.47453757,20.53083764,45.26923955,-0.186201858,-0.06779795,0.535138032,0.009280136
36.49241505,0.752068515,117.6299447,-0.270180592,-0.171263852,0.790112092,0.002822401
39.66831677,5.326752794,69.89759009,-0.274893768,-0.149886969,0.734471668,0.004005994
39.6136928,9.913511188,46.6304307,-0.089702922,-0.096374372,0.511369458,0.003522852
42.11937403,32.10974017,60.66758535,-0.21042375,-0.000362892,0.388326732,0.00797084
38.69805411,12.94353317,107.2525466,-0.285954795,-0.121295291,0.641875935,0.005612181
