"NDVIchange","Climatezone","Mining","Tempchange","Precipitation","GDP","Popdensity"
0.0762,"Bwk","low",0.25187,239.01,0,2.13092
0.11863,"Bwk","low",0.21341,249.77,12.55,1.91969
0.12349,"Bwk","low",0.2113,247.45,0,2.13976
0.2319,"Bwk","low",0.29082,232.96,0,1.48338
0.12547,"Bwk","low",0.26806,236.1,0,1.48338
0.16667,"Bwk","low",0.227,247.23,0,1.48338
0.17524,"Bwk","low",0.23247,239.31,0,1.5026
0.11293,"Bwk","low",0.24753,229.36,0,1.42312
0.05562,"Bwk","low",0.25444,222.85,0,0.00906
0.0094,"Bwk","low",0.23887,224.47,0,0.00762
2e-04,"Bwk","low",0.25392,215.12,0,0.37779
0.02984,"Bwk","low",0.28031,202.45,2.45,1.01069
0.15468,"Bsk","low",0.26816,443.66,0,8.33007
0.12631,"Bsk","low",0.28265,448.46,15.67,8.38896
0.16222,"Bsk","low",0.28651,457.78,0,8.76407
0.17575,"Bsk","low",0.28825,467.78,4.39,13.12682
0.17257,"Bsk","very low",0.302,472.93,0,18.64273
0.16767,"Bsk","very low",0.3051,482.17,103.04,22.78623
0.26505,"Bsk","very low",0.31261,489.68,8.66,36.16936
0.17404,"Bwk","low",0.30806,234.53,0,1.90377
0.08933,"Bwk","low",0.30225,231.5,0,1.48338
0.14389,"Bwk","low",0.27026,239.23,0,1.48338
0.16776,"Bwk","low",0.24641,243.86,0,1.48338
0.14972,"Bwk","low",0.24893,237.08,0,1.48338
0.09209,"Bwk","low",0.25608,229.68,0,1.28473
0.0221,"Bwk","low",0.27394,218.64,0,0.1799
0.00374,"Bwk","low",0.27903,212.24,0,0.93103
0.029,"Bwk","low",0.28294,206.94,0,1.26843
0.02217,"Bwk","low",0.28068,204.49,0,1.26843
0.00277,"Bwk","low",0.27649,203.35,0,1.26843
0.06949,"Bwk","low",0.25598,208.99,0,18.73602
0.0223,"Bwk","low",0.21946,223.09,0,6.95504
