normal,t,uniform,gamma
-27.981599447425204,-33.6026464252464,-17.076563462085716,-13.860655093746315
-25.787109066900058,-28.39190639978525,-16.964270823064705,-13.624261836433275
-22.49355224617129,-26.752230809997922,-16.784524060500967,-13.511123944823138
-20.96044616182645,-24.574494501234355,-16.427342227906145,-12.73933424633383
-20.56771601640005,-24.574205940249204,-16.26418360989351,-12.377955492075834
-20.069185646827993,-21.495708287356237,-16.066692288843512,-12.302124822616364
-19.624331005552584,-21.463814338228183,-15.987762064655758,-12.120959535364172
-17.52583067670014,-20.74977038087916,-15.982065937351003,-12.101280398230102
-17.325846810988327,-20.137741098464716,-15.937665595877208,-12.075447465714541
-17.02339508147364,-19.987689771459657,-15.715668570569248,-12.013588285129831
-16.565661502504053,-19.776231812269256,-15.665637683457588,-11.990870585369215
-16.433331280902983,-19.731321639371867,-15.66259919655659,-11.931256184577133
-16.40277074588535,-19.312018664244174,-15.652229783968707,-11.886724577408867
-16.284451805026105,-18.619827288840597,-15.60221077744716,-11.827350029365087
-16.093393214249815,-17.69297642294675,-15.559921923596239,-11.75601198217456
-15.711987693458651,-17.566182930988454,-15.29051788381975,-11.750710496726908
-15.672274721366284,-16.498158838312055,-15.105953463249469,-11.686943132417742
-15.626773350411174,-16.081431761666593,-15.08127132021104,-11.601916489079914
-15.17722768707018,-16.013925626880308,-14.851527216069144,-11.57012814647996
-14.929069074986867,-15.767597663106743,-14.784318117524514,-11.441588174245323
-14.80856705262637,-15.545612045375599,-14.64982511006488,-11.313164081652758
-14.505731778884403,-15.517969505998849,-14.608629058005347,-11.223549298285612
-14.465330394878803,-14.813183790561599,-14.598609477439586,-11.113955666865198
-14.099047456154455,-14.755185996380202,-14.468649654336401,-11.021216721773593
-14.01497979415776,-14.522579075438252,-14.386147770624603,-10.95989508671424
-13.743248040508522,-14.387704754958552,-14.259734043155479,-10.95182913360409
-13.424954757527878,-14.28391560325004,-13.969465405612782,-10.933577851337548
-13.194611292594223,-13.90359156559141,-13.92675725989655,-10.735371974045263
-12.971048967460273,-13.61083435498788,-13.770956965433305,-10.718217106107899
-12.79427655595432,-13.142531759922406,-13.669819922271149,-10.668299737852028
-12.61470709345291,-12.664089446724363,-13.558132090266145,-10.368267077115066
-12.520869887503334,-12.544811118062624,-13.511076725616979,-10.265960881196394
-12.155363611472875,-12.513761675588093,-13.484007745303659,-10.241540574359338
-12.073150531986908,-11.549493077791404,-13.407789581381671,-10.199454686894128
-11.99811536506867,-11.445984984645285,-13.403980788229891,-10.065937738966797
-11.947851542029174,-10.978678642483102,-13.31860455410106,-9.95825917324332
-11.918435602242043,-10.448828499246707,-13.317741914930817,-9.954990427472005
-11.82882435818938,-10.047669461863043,-13.206494416749099,-9.878820958959547
-11.741747632151732,-9.631675130434427,-13.176192724284032,-9.810685386034637
-11.311196453614631,-9.592073702010328,-12.805438587952938,-9.703294886600268
-11.261405883963276,-9.295756991939689,-12.668463372291605,-9.627596471895322
-11.198057492499032,-9.211481550346122,-12.437965716752927,-9.599021390835205
-11.066849506740262,-9.176670811468679,-12.249098485922914,-9.569726891114943
-10.975124965856509,-9.026404212702918,-12.242998745296225,-9.566171315992309
-10.867832223798931,-9.024093550839876,-12.164261760104754,-9.343700712349465
-10.753283981465966,-8.926200943513873,-12.037738121472408,-9.338768138331107
-10.720311116574928,-8.879921943902445,-11.945444910697596,-9.3114102008745
-10.610283037111044,-8.848686316293325,-11.900811546690326,-9.308119244549427
-10.270246565279265,-8.827547393189466,-11.886859797080795,-9.283879975002531
-10.041032640932908,-8.816261916396455,-11.606634589761363,-9.232208768542495
-9.82785335257746,-8.597935719300787,-11.52721650554533,-9.203533636740284
-9.712946492547154,-8.407067748503453,-11.493739330090753,-9.155693960461203
-9.39692781592304,-8.3264866329417,-11.487036658531606,-9.110406317324845
-9.341727917739394,-8.305276484420187,-11.338190175897623,-9.012064712313636
-9.223492805706252,-8.180843342912468,-11.28696827308046,-8.926302928748639
-9.146738498890672,-8.137364731603364,-11.102046264862775,-8.857137555930919
-8.976971574219043,-8.10907041999939,-10.987099207168036,-8.790220179142217
-8.88132401185964,-7.937809575165331,-10.863111933132668,-8.630635327640814
-8.810074522547906,-7.920471426075595,-10.748237050843596,-8.555776203315308
-8.53369634382722,-7.8279283304674525,-10.647720890348541,-8.469168864114131
-8.40304517668683,-7.766371861089123,-10.593613322233328,-8.466362642252133
-8.400866932720914,-7.571843680003508,-10.583915817918811,-8.46633356099657
-8.3035689903607,-7.557541997640581,-10.571569006435306,-8.332223833715805
-7.9688678234720935,-7.127619647110751,-10.504042284836611,-8.267229113285989
-7.744412606866416,-7.068541428186155,-10.475441905225175,-8.226737690888937
-7.717431635058966,-6.738664835655519,-10.453031548156869,-8.027114268174238
-7.691551768534878,-6.718610160510622,-10.437453264928537,-7.895825099270168
-7.665549763936546,-6.3961667993793565,-10.406900365426104,-7.783871936640522
-7.650239629282126,-6.3414040798544065,-10.230451666463306,-7.721106113443521
-7.525991458761796,-6.31126564585121,-10.152940885353871,-7.704998741448622
-7.215913733088197,-6.2937220677586385,-10.117284569296194,-7.528617308238217
-7.190751260396474,-6.273022318831568,-9.789176974172147,-7.40639735851024
-7.165768081091743,-6.218322841279974,-9.721970887622637,-7.378839318266911
-7.118404429753863,-6.167095002951268,-9.647696827202727,-7.3014399577475295
-7.013703555045694,-6.094227832590536,-9.636480709216368,-7.285418101613149
-6.994994547108478,-6.082077043765887,-9.437693787044573,-7.2671299833936045
-6.905235881920227,-6.00108866902631,-9.39850035327317,-6.956699295043528
-6.794616421074027,-5.952211789332994,-9.319638419929744,-6.920445181952255
-6.78079622249506,-5.7202599230182605,-9.161218248665278,-6.886457246323873
-6.706776229032087,-5.590986522435633,-9.093953542691683,-6.797824487282607
-6.645005776668359,-5.543207412499251,-9.016018060988289,-6.789997525200855
-6.62910745464036,-5.482393877199236,-8.886178718772126,-6.7345614527555275
-6.613878288079008,-5.4176153481221245,-8.513010512365678,-6.550885831563642
-6.551576640662229,-5.3318891466210525,-8.427099310572359,-6.514082063690073
-6.244077387231649,-5.306736162587191,-8.139896353297246,-6.509785785087923
-6.234064104531939,-5.071794817200291,-8.001918840040423,-6.403249399764728
-6.0595427618185385,-4.966725128107417,-7.905451123744827,-6.2387417969817625
-6.028947269332379,-4.9427149414990845,-7.892553818165227,-6.217775553918514
-5.6999130874333055,-4.817572372975915,-7.63315497948506,-6.197133683443744
-5.379574360780421,-4.741520501048736,-7.469346418600262,-6.151306715437819
-5.368052882774564,-4.680735482246988,-7.205572187712306,-6.141256344718929
-5.339714482343449,-4.622282001459226,-7.069006735783407,-6.09701008716705
-5.251937005795765,-4.566720698286329,-6.8331213666992685,-5.852664571575014
-5.204844359196409,-4.519950075319681,-6.757025197124419,-5.8299208848379696
-5.082002860565283,-4.466694916679131,-6.745533354728739,-5.651748443372416
-4.936025019525579,-4.336306441935353,-6.667543340204301,-5.647090330490993
-4.907813583683673,-4.244090959807548,-6.642854161851703,-5.577081779927957
-4.8877139814891715,-4.234411923873092,-6.583743048214515,-5.42451746736773
-4.827235382964056,-4.187959252182123,-6.430196949826734,-5.3570252722845515
-4.652775714796832,-4.178525398505547,-6.417710082006121,-5.3183795575347625
-4.650234928016996,-4.1693992135575115,-6.313023172718991,-5.210921334766134
-4.62358868515488,-4.145034763356046,-6.281116867748145,-5.138340482154753
-4.40839389451553,-4.131381710359127,-6.037338756169721,-5.082195490341556
-4.372726033290789,-4.111230223737862,-5.696646385297357,-4.879157935635877
-4.304046736704673,-4.044754254120922,-5.662843404391649,-4.8416319841813635
-4.290096412604026,-3.9639846468836866,-5.444231363564473,-4.822640110743379
-4.266793685663656,-3.9211257285358254,-5.375111164164967,-4.753674247974536
-4.245036794720956,-3.9084319975435164,-5.32115549139726,-4.716072709384664
-4.181896684311349,-3.893757536550246,-5.226960297027637,-4.675928100136099
-4.145656522224343,-3.798360524783325,-5.199104095611251,-4.674793628660873
-3.964333891550826,-3.7977265851006714,-5.062037798036974,-4.667526081389283
-3.8999723096344043,-3.7947246653446047,-4.70541568059638,-4.645217802459682
-3.8681146074003165,-3.7619775330892233,-4.5557245475347035,-4.543235692494134
