"NDVIchange","Climatezone","Mining","Tempchange","Precipitation","GDP","Popdensity"
0.10371,"Bwk","low",0.28593,232.44,12.55,1.26792
0.02683,"Bwk","low",0.27702,215.61,2.69,0.80951
0.05612,"Bwk","low",0.23386,223.12,0,3.13873
0.10837,"Bsk","low",0.2798,424.96,69.48,8.82606
0.16432,"Bsk","very low",0.34199,454.01,135.44,15.46709
0.00023,"Bwk","low",0.40529,210.76,0,0.11753
-5e-04,"Bwk","low",0.39631,195.53,3.71,0.0325
0.00171,"Bwk","low",0.37824,189.68,0.75,0.30539
0.01605,"Bwk","low",0.32607,206.4,11.89,1.8471
0.05455,"Bsk","low",0.19958,288.8,28.55,6.11528
0.0581,"Bsk","low",0.20447,334.57,253.91,14.01556
0.07261,"Bsk","low",0.25421,380.56,37.62,2.4841
0.0977,"Bsk","very low",0.40258,416.17,61.59,8.76882
-0.00028,"Bwk","low",0.44307,163.12,0,0.08975
-0.00782,"Bwk","low",0.44877,166.64,0,0.42707
-0.00323,"Bwk","low",0.45345,178.56,9.89,13.57254
0.09033,"Bsk","low",0.32865,245.58,840.69,16.11005
0.00862,"Bsk","low",0.26974,244.99,14.6,6.61548
0.00833,"Bsk","medium",0.20043,282.11,36.45,11.65696
0.06632,"Bsk","medium",0.22131,333.6,50.82,2.90429
0.07828,"Bsk","very low",0.4302,384.57,606.28,18.37758
0.09743,"Bsk","very low",0.67744,430.35,52.56,12.38063
0.06109,"Bsk","very low",0.13271,214.49,98.5,2.6601
-0.01095,"Bwk","low",0.44453,153.19,0,0.64161
0.0038,"Bwk","low",0.51468,156.98,0,3.24514
0.05151,"Bwk","low",0.44476,211.79,37.21,16.95255
0.0328,"Bwk","very low",0.3824,198.52,417.55,33.06157
0.04577,"Bsk","medium",0.27598,231.96,59.43,19.34037
0.05068,"Bsk","medium",0.23292,291.93,359.63,6.9411
0.06652,"Bsk","very low",0.46327,347.5,19.57,6.4269
0.11891,"Bsk","very low",0.7277,399.24,187.24,8.40486
0.15882,"Bsk","very high",0.73092,457.78,253.68,26.22565
0.02382,"Bwk","very low",-0.00859,192.1,2.51,0.77025
0.00536,"Bwk","very low",0.03602,150.98,55.48,2.36215
0.00544,"Bwk","very low",0.07342,142.5,0,2.06587
-0.00925,"Bwk","very low",0.23885,117.26,27.3,0.37325
-0.013,"Bwk","very low",0.29654,111,1.82,0.55065
-0.00258,"Bwk","low",0.41362,132.12,0,0.12233
-0.00603,"Bwk","low",0.53061,131.43,1.07,1.26985
-0.00693,"Bwk","low",0.64297,128.82,103.51,1.7106
0.00227,"Bwk","low",0.59854,160.08,1.28,6.80794
0.00975,"Bwk","medium",0.50879,191.68,4474.42,215.69767
0.03483,"Bsk","medium",0.37975,235.84,0,4.6853
0.07236,"Bsk","medium",0.34358,267.3,40.63,6.71234
0.09766,"Bsk","medium",0.38731,321.65,505.35,8.41796
0.1416,"Bsk","very low",0.53335,382.06,351.27,17.49128
0.16514,"Bsk","high",0.63288,433.57,6481.39,247.18221
0.19327,"Dwb","very high",0.62578,476.52,949.97,57.88698
0.24308,"Dwa","very high",0.62665,468.96,2292.64,71.3371
-0.01681,"Bwk","very low",-0.10436,138.54,1.64,0.15391
-0.01408,"Bwk","very low",-0.06757,128.72,2.8,0.15825
-0.01503,"Bwk","very low",-0.01222,107.74,0.93,0.28461
-0.01438,"Bwk","very low",0.06999,99.4,0.63,1.03442
-0.01239,"Bwk","very low",0.09503,129.43,0.16,0.31828
-0.01062,"Bwk","very low",0.1518,139.33,3.08,0.31874
-0.01663,"Bwk","very low",0.24188,130.28,4.69,0.29039
-0.01102,"Bwk","low",0.2931,146.94,55.27,0.19933
-0.00935,"Bwk","low",0.41843,154.71,0,0.5524
-0.02249,"Bwk","low",0.67429,119.73,0,1.43382
-0.02,"Bwk","low",0.77616,120.32,2.46,0.9926
0.01962,"Bwk","medium",0.71419,162.64,654.53,43.96936
0.01534,"Bwk","very low",0.62095,208.65,6.54,4.60726
0.07069,"Bwk","very low",0.54819,235.51,0.83,3.25296
0.09524,"Bsk","very low",0.43777,290.83,86.94,9.42442
0.10385,"Bsk","high",0.49501,358.12,284.68,28.304
0.11887,"Bsk","high",0.64847,398.34,431.51,26.08772
0.18688,"Bsk","high",0.71899,429.6,459.29,24.4657
0.20422,"Dwb","very high",0.72836,447.49,1139.57,57.00245
0.23313,"Dwb","very low",0.72943,446.09,1484.91,84.57889
0.23313,"Dwb","very low",0.71354,462.09,150.57,28.96063
-0.02066,"Bwk","very low",-0.19173,118.5,1.3,0.37666
-0.02044,"Bwk","very low",-0.15071,103.49,0.44,0.03922
-0.0179,"Bwk","very low",-0.08666,94.7,0.08,0.01235
-0.01768,"Bwk","very low",-0.01481,85.98,0.02,0
-0.01685,"Bwk","very low",0.04185,90.64,0.39,0.11882
-0.01947,"Bwk","very low",0.09621,102.81,0,0.10819
-0.01873,"Bwk","very low",0.13956,120.36,1.95,0.20921
-0.02104,"Bwk","very low",0.16514,147.89,1.66,0.17069
-0.00765,"Bwk","very low",0.287,140.45,0,0.14935
-0.00032,"Bwk","low",0.44058,146.55,0,0.24343
-0.01201,"Bwk","low",0.61066,164,3.15,0.45495
0.01106,"Bwk","low",0.82702,140.97,44.27,0.80798
0.11591,"Bwk","very low",0.92718,135.36,1168.74,38.00145
0.07872,"Bwk","very low",0.88577,168.59,423.27,18.83133
0.01553,"Bwk","very low",0.77024,212.43,40.44,2.2475
0.08947,"Bsk","very low",0.69142,253.44,1527.09,42.01326
0.18362,"Bsk","very low",0.77647,311.09,440.02,27.28448
0.24736,"Bsk","very low",0.88964,341.29,19157.75,866.64702
0.29986,"Bsk","very low",0.86183,393.62,2497.9,215.82922
0.37633,"Bsk","very low",0.87787,412.18,2060.78,110.58034
0.35226,"Bsk","very low",0.91221,410.11,5992.27,140.57208
0.27029,"Dwb","very low",0.85185,440.5,241.51,57.16413
0.26411,"Bsk","very low",0.89085,428.9,1418.34,54.46767
0.23353,"Bsk","very low",0.9907,411.91,1325.82,107.85239
0.24335,"Bsk","very low",0.99289,443.42,360.3,35.28326
